corpus,layer,fold,n_train,n_test,r2_controls,r2_controls_surprisal,r2_controls_sae,r2_combined
provo,5,3,2103,527,0.18426540992987928,0.18208966267921445,0.2191093220596826,0.21975857768984963
provo,5,4,2104,526,0.1102003730597706,0.12089637990782998,0.09280927821617868,0.09876931259161192
provo,5,5,2105,525,0.1679839919428764,0.18230521827633006,0.16724672381262362,0.1716428584595291
provo,6,1,2104,526,0.13821169488153673,0.14763135664494953,0.15422285381929446,0.1613741633262753
provo,6,2,2104,526,0.12282364920720379,0.1272380008991294,0.15862371481424653,0.1636438918270514
provo,6,3,2103,527,0.18426540992987928,0.18208966267921445,0.21404544150519134,0.2145403544214589
provo,6,4,2104,526,0.1102003730597706,0.12089637990782998,0.14208196895172043,0.15104247282614214
provo,6,5,2105,525,0.1679839919428764,0.18230521827633006,0.16463104791017424,0.1729778056651058
provo,7,1,2104,526,0.13821169488153673,0.14763135664494953,0.1539784225952997,0.16170235786478115
provo,7,2,2104,526,0.12282364920720379,0.1272380008991294,0.14042283256225307,0.15672822055668945
provo,7,3,2103,527,0.18426540992987928,0.18208966267921445,0.19227488972059548,0.19421914918863314
provo,7,4,2104,526,0.1102003730597706,0.12089637990782998,0.11797301376845382,0.12673059513686924
provo,7,5,2105,525,0.1679839919428764,0.18230521827633006,0.14503860898189547,0.15641356444771992
provo,8,1,2104,526,0.13821169488153673,0.14763135664494953,0.13673456134624395,0.14228869703254332
provo,8,2,2104,526,0.12282364920720379,0.1272380008991294,0.14071557830347958,0.14506603472979585
provo,8,3,2103,527,0.18426540992987928,0.18208966267921445,0.2030182925960986,0.2034473769577827
provo,8,4,2104,526,0.1102003730597706,0.12089637990782998,0.11827363147333825,0.12649979506044384
provo,8,5,2105,525,0.1679839919428764,0.18230521827633006,0.17571095177950025,0.18637996561334136
provo,9,1,2104,526,0.13821169488153673,0.14763135664494953,0.15223012856910012,0.16060951198125628
provo,9,2,2104,526,0.12282364920720379,0.1272380008991294,0.12797663893691835,0.1323065161598287
provo,9,3,2103,527,0.18426540992987928,0.18208966267921445,0.18867503625201199,0.18800996731190156
provo,9,4,2104,526,0.1102003730597706,0.12089637990782998,0.12292392807035912,0.13147243052985746
provo,9,5,2105,525,0.1679839919428764,0.18230521827633006,0.17280689792762371,0.1821348986837913
provo,10,1,2104,526,0.13821169488153673,0.14763135664494953,0.1374880063620424,0.14818078054389772
provo,10,2,2104,526,0.12282364920720379,0.1272380008991294,0.12282364920720379,0.12944505966528874
provo,10,3,2103,527,0.18426540992987928,0.18208966267921445,0.18568749862410516,0.1853870210294014
provo,10,4,2104,526,0.1102003730597706,0.12089637990782998,0.11202133645040002,0.12420261202825822
provo,10,5,2105,525,0.1679839919428764,0.18230521827633006,0.17156365807818807,0.18301193373360836
provo,11,1,2104,526,0.13821169488153673,0.14763135664494953,0.14971116019483,0.160690410842123
provo,11,2,2104,526,0.12282364920720379,0.1272380008991294,0.12390315592856382,0.13026988137567241
provo,11,3,2103,527,0.18426540992987928,0.18208966267921445,0.2010347141833818,0.20443478523358238
provo,11,4,2104,526,0.1102003730597706,0.12089637990782998,0.11842372440243043,0.12885473809279746
provo,11,5,2105,525,0.1679839919428764,0.18230521827633006,0.17699391086793947,0.1880879876967031
provo,12,1,2104,526,0.13821169488153673,0.14763135664494953,0.14810454665885098,0.16546589209524476
provo,12,2,2104,526,0.12282364920720379,0.1272380008991294,0.13837609162333941,0.14290458315987287
provo,12,3,2103,527,0.18426540992987928,0.18208966267921445,0.19460344555726228,0.1975914766701049
provo,12,4,2104,526,0.1102003730597706,0.12089637990782998,0.1251888435572689,0.13146581058309903
provo,12,5,2105,525,0.1679839919428764,0.18230521827633006,0.18240207090879523,0.19464909547825227
