text_id,word_position,FFD,TRT,word,word_clean,zipf_freq,log_unigram_freq,word_length,log_FFD,log_TRT,corpus,primary_RT,log_primary_RT,row_uid,surprisal,hidden_row_idx,token_ids_str,n_tokens,start_token_idx,end_token_idx,hidden_token_idx
48,28,211.88311688311688,325.39285714285717,transport,transport,4.68,-4.319663579917319,9,5.356034787173737,5.7850332435386544,provo,211.88311688311688,5.356034787173737,provo:48:28,11.450332641601562,2286,[4839],1,29,29,29
48,29,211.13793103448276,82.96428571428571,it,it,6.95,-2.0501222910888885,2,5.35251162149148,4.418410222595205,provo,211.13793103448276,5.35251162149148,provo:48:29,7.419106483459473,2287,[340],1,30,30,30
48,30,235.26027397260273,279.1904761904762,into,into,6.11,-2.8894102560345134,4,5.460692450084039,5.631894259240792,provo,235.26027397260273,5.460692450084039,provo:48:30,6.689337253570557,2288,[656],1,31,31,31
48,31,182.02325581395348,108.29761904761904,or,or,6.54,-2.4596705126934353,2,5.204134458111276,4.6848831689787485,provo,182.02325581395348,5.204134458111276,provo:48:31,5.372055530548096,2289,[393],1,32,32,32
48,32,228.0,145.6904761904762,out,out,6.38,-2.619788740192791,3,5.429345628954441,4.981484345179172,provo,228.0,5.429345628954441,provo:48:32,0.41096317768096924,2290,[503],1,33,33,33
48,33,217.7111111111111,136.21428571428572,of,of,7.4,-1.600326276788705,2,5.383169005574323,4.914229275985161,provo,217.7111111111111,5.383169005574323,provo:48:33,0.018384767696261406,2291,[286],1,34,34,34
48,34,162.63636363636363,95.26190476190476,the,the,7.73,-1.2700257134917023,3,5.091516810710348,4.5566299905738665,provo,162.63636363636363,5.091516810710348,provo:48:34,0.5825875997543335,2292,[262],1,35,35,35
48,35,178.30612244897958,143.10714285714286,country,country,5.48,-3.519992913236753,7,5.183501862187468,4.963593600460941,provo,178.30612244897958,5.183501862187468,provo:48:35,0.18541279435157776,2293,[1499],1,36,36,36
48,36,189.44444444444449,62.892857142857146,is,is,7.07,-1.9318141345419195,2,5.244095812381397,4.1414325983210025,provo,189.44444444444449,5.244095812381397,provo:48:36,1.7296154499053955,2294,[318],1,37,37,37
48,37,229.57692307692307,71.05952380952381,a,a,7.36,-1.6401645157636295,1,5.436238150147168,4.263517889325336,provo,229.57692307692307,5.436238150147168,provo:48:37,2.5901453495025635,2295,[257],1,38,38,38
48,38,211.22222222222223,165.13095238095238,crime,crime,4.89,-4.110137719084335,5,5.35291076515221,5.106738809919976,provo,211.22222222222223,5.35291076515221,provo:48:38,2.85850191116333,2296,[4065],1,39,39,39
48,39,222.55,263.01190476190476,punishable,punishable,3.3,-5.698948290154774,10,5.4051517954618635,5.572199296407715,provo,222.55,5.4051517954618635,provo:48:39,1.8165013790130615,2297,[30124],1,40,40,40
48,40,188.92857142857144,71.01190476190476,by,by,6.66,-2.340083790426988,2,5.241369014677141,4.262847535688703,provo,188.92857142857144,5.241369014677141,provo:48:40,0.20117433369159698,2298,[416],1,41,41,41
48,41,218.02325581395348,127.33333333333331,up,up,6.39,-2.6108338979091625,2,5.384601735145049,4.846808319938465,provo,218.02325581395348,5.384601735145049,provo:48:41,0.9486593008041382,2299,[510],1,42,42,42
48,42,217.3,83.4047619047619,to,to,7.43,-1.5702477183831145,2,5.381278887262384,4.423705404914118,provo,217.3,5.381278887262384,provo:48:42,0.00039997618296183646,2300,[284],1,43,43,43
48,43,205.6315789473684,159.04761904761904,five,five,5.45,-3.549750737675531,4,5.32608611588863,5.069203648247323,provo,205.6315789473684,5.32608611588863,provo:48:43,2.3406782150268555,2301,[1936],1,44,44,44
