corpus,hook,label,kind,group,n_rows,mean_active,fraction_zero_rows,mean_relative_l2_error,mean_cosine_similarity,reconstruction_r2_centered
provo,blocks.11.hook_resid_pre,L12,prefix,all,2743,61.55450236966825,0.0,0.2492844015359878,0.9671151638031006,0.9827072635628891
provo,blocks.11.hook_resid_pre,L12,prefix,text_token,2688,62.62983630952381,0.0,0.2543431222438812,0.9664422869682312,0.8002874947176435
provo,blocks.11.hook_resid_pre,L12,prefix,bos,55,9.0,0.0,0.0020519404206424,0.9999977946281432,
provo,blocks.11.hook_resid_post,final_resid_post,post,all,2743,70.71673350346336,0.0,0.1742057651281356,0.9844256639480592,0.8262661382264843
provo,blocks.11.hook_resid_post,final_resid_post,prefix,all,2743,69.69012030623405,0.0,0.1717627048492431,0.984609603881836,0.8418549917750808
provo,blocks.11.hook_resid_post,final_resid_post,prefix,text_token,2688,71.03422619047619,0.0,0.174944669008255,0.9842965006828308,0.8236767730367909
provo,blocks.11.hook_resid_post,final_resid_post,prefix,bos,55,4.0,0.0,0.0162514466792345,0.9999109506607056,
natural_stories,blocks.0.hook_resid_pre,L01,post,all,10256,10.64498829953198,0.0,0.0481999032199382,0.9963247776031494,0.9760263815510879
natural_stories,blocks.0.hook_resid_pre,L01,prefix,all,10256,10.600234009360374,0.0,0.0481230244040489,0.9963304400444032,0.97630580940388
natural_stories,blocks.0.hook_resid_pre,L01,prefix,text_token,10246,10.604723794651573,0.0,0.0481674075126647,0.9963268637657166,0.976031608173941
natural_stories,blocks.0.hook_resid_pre,L01,prefix,bos,10,6.0,0.0,0.0026475058402866,0.999996542930603,
natural_stories,blocks.1.hook_resid_pre,L02,post,all,10256,14.807332293291733,0.0,0.1184645965695381,0.9920156598091124,0.9406296213643457
natural_stories,blocks.1.hook_resid_pre,L02,prefix,all,10256,14.75585023400936,0.0,0.1183205097913742,0.9920273423194884,0.942597637432322
natural_stories,blocks.1.hook_resid_pre,L02,prefix,text_token,10246,14.765371852430215,0.0,0.1184316948056221,0.992019534111023,0.9406206444466039
natural_stories,blocks.1.hook_resid_pre,L02,prefix,bos,10,5.0,0.0,0.0043903002515435,0.9999939203262328,
natural_stories,blocks.2.hook_resid_pre,L03,post,all,10256,19.976014040561623,0.0,0.1379550546407699,0.9895461201667786,0.9285775527801665
natural_stories,blocks.2.hook_resid_pre,L03,prefix,all,10256,19.89742589703588,0.0,0.1378301233053207,0.9895555377006532,0.9486371871231809
natural_stories,blocks.2.hook_resid_pre,L03,prefix,text_token,10246,19.908061682607848,0.0,0.1379574686288833,0.9895453453063964,0.9285410063219406
natural_stories,blocks.2.hook_resid_pre,L03,prefix,bos,10,9.0,0.0,0.0073579819872975,0.999994158744812,
